---------- AND Interactions ----------
I(33,35): 3.944896936416626	 ([falls][soon.])
I(24,44): -0.14407062530517578	 ([movies.][think])
I(3,39): -0.14403319358825684	 ([killer][movie])
I(0,24): 0.14396178722381592	 ([title][movies.])
I(50,65): -0.14366602897644043	 ([funny][" attack])
I(37,57): -0.143463134765625	 ([supposed][spy])
I(52,66): -0.14343690872192383	 ([side - by - side][killer])
I(30,61): 0.14338576793670654	 ([splashed][superman])
I(34,53): 0.1432201862335205	 ([flat][phone])
I(9,65): -0.1431283950805664	 ([would][" attack])
I(20,61): 0.14300894737243652	 ([fun][superman])
I(23,50): -0.14294862747192383	 ([fiction][funny])
I(55,56): -0.14275360107421875	 ([russian][olympic])
I(33,68): -0.14267539978027344	 ([falls]["])
I(8,53): 0.14262652397155762	 ([thing][phone])
I(4,46): 0.14252424240112305	 ([tomatoes!][right?])
I(8,43): -0.14230561256408691	 ([thing][supposed])
I(15,35): -0.141693115234375	 ([fiction][soon.])
I(43,56): 0.14166593551635742	 ([supposed][olympic])
I(26,43): 0.14165568351745605	 ([mix][supposed])
I(2,14): 0.14139962196350098	 ([attack][science])
I(10,39): -0.14129996299743652	 ([expecting][movie])
I(36,57): -0.1412355899810791	 ([never][spy])
I(40,57): -0.14118123054504395	 ([seriously,][spy])
I(15,69): -0.14112448692321777	 ([fiction][strives])
I(13,69): 0.1400299072265625	 ([bad][strives])
I(5,63): 0.13960480690002441	 ([",][lois,])
I(8,10): 0.13945746421813965	 ([thing][expecting])
I(20,65): -0.13892793655395508	 ([fun][" attack])
I(7,10): -0.13870930671691895	 ([going][expecting])
I(2,19): -0.13855290412902832	 ([attack][making])
I(33,52): -0.13821125030517578	 ([falls][side - by - side])
I(18,67): 0.1381756067276001	 ([comedy][tomatoes])
I(43,52): 0.1371457576751709	 ([supposed][side - by - side])
I(52,57): 0.13681674003601074	 ([side - by - side][spy])
I(8,49): -0.13677430152893066	 ([thing][situations])
I(23,38): -0.13663864135742188	 ([fiction][take])
I(34,64): 0.13663649559020996	 ([flat][etc. ).])
I(1,35): 0.1364743709564209	 ([like][soon.])
I(6,46): 0.13624024391174316	 ([anyone][right?])
I(32,51): 0.1360642910003662	 ([unfortunately,][( i. e,])
I(2,46): 0.1359853744506836	 ([attack][right?])
I(10,26): -0.13579297065734863	 ([expecting][mix])
I(22,49): 0.13575327396392822	 ([science][situations])
I(10,23): -0.13573360443115234	 ([expecting][fiction])
I(47): -0.13567757606506348	 ([found])
I(55,60): 0.13534259796142578	 ([russian][cereal,])
I(39,65): 0.1347947120666504	 ([movie][" attack])
I(61,64): -0.13417232036590576	 ([superman][etc. ).])
I(12,63): 0.13413691520690918	 ([a )][lois,])
I(35,61): -0.13331270217895508	 ([soon.][superman])
I(23,49): 0.13306844234466553	 ([fiction][situations])
I(18,31): 0.13299143314361572	 ([comedy][in.])
I(0,54): 0.13277781009674072	 ([title][conversations,])
I(9,43): 0.1327497959136963	 ([would][supposed])
I(8,64): 0.1325322389602661	 ([thing][etc. ).])
I(28,34): -0.1323930025100708	 ([dose][flat])
I(11,12): -0.13198280334472656	 ([either][a )])
I(21,26): -0.13192486763000488	 ([bad][mix])
I(10,36): -0.13161969184875488	 ([expecting][never])
I(9,39): -0.1315469741821289	 ([would][movie])
I(43,47): 0.13145780563354492	 ([supposed][found])
I(10,45): -0.13115918636322021	 ([expecting][funny,])
I(8,19): -0.13103485107421875	 ([thing][making])
I(11,54): 0.13084471225738525	 ([either][conversations,])
I(19,50): -0.13075685501098633	 ([making][funny])
I(10,40): -0.13073301315307617	 ([expecting][seriously,])
I(6,66): -0.1307201385498047	 ([anyone][killer])
I(26,65): -0.13069963455200195	 ([mix][" attack])
I(26,33): -0.13058257102966309	 ([mix][falls])
I(40,64): -0.13021576404571533	 ([seriously,][etc. ).])
I(2,36): -0.12997698783874512	 ([attack][never])
I(13,42): -0.12983322143554688	 ([bad][that,])
I(36,64): 0.12953531742095947	 ([never][etc. ).])
I(36,63): 0.12878739833831787	 ([never][lois,])
I(30,60): -0.12862563133239746	 ([splashed][cereal,])
I(2,51): 0.1285839080810547	 ([attack][( i. e,])
I(6,43): 0.12854552268981934	 ([anyone][supposed])
I(9,12): -0.128220796585083	 ([would][a )])
I(4,37): 0.12813353538513184	 ([tomatoes!][supposed])
I(32,69): 0.12813138961791992	 ([unfortunately,][strives])
I(0,66): -0.12812483310699463	 ([title][killer])
I(19,59): -0.12811875343322754	 ([making][steroid])
I(16,33): -0.12799859046936035	 ([movie][falls])
I(43,64): 0.12794244289398193	 ([supposed][etc. ).])
I(38,57): -0.12762832641601562	 ([take][spy])
I(40,68): -0.12730169296264648	 ([seriously,]["])
I(28,55): -0.12714648246765137	 ([dose][russian])
I(27,42): 0.1270434856414795	 ([both,][that,])
I(16,34): -0.12690198421478271	 ([movie][flat])
I(25,61): 0.12661409378051758	 ([supposed][superman])
I(44,66): -0.1265568733215332	 ([think][killer])
I(53,55): -0.12648487091064453	 ([phone][russian])
I(10,54): 0.12638723850250244	 ([expecting][conversations,])
I(7,20): -0.1263561248779297	 ([going][fun])
I(31,61): -0.12617099285125732	 ([in.][superman])
I(29,52): 0.12585878372192383	 ([parody][side - by - side])
I(21,31): 0.1253514289855957	 ([bad][in.])
I(2,31): -0.12528443336486816	 ([attack][in.])
I(36,65): -0.1252729892730713	 ([never][" attack])
I(20,30): -0.12494754791259766	 ([fun][splashed])
I(22): 0.12492847442626953	 ([science])
I(15,44): -0.12490487098693848	 ([fiction][think])
I(25,47): -0.12468338012695312	 ([supposed][found])
I(0,33): -0.12460839748382568	 ([title][falls])
I(18,42): 0.12458539009094238	 ([comedy][that,])
I(6,8): 0.12446761131286621	 ([anyone][thing])
I(13,46): -0.12438726425170898	 ([bad][right?])
I(23,44): -0.12420535087585449	 ([fiction][think])
I(44,59): 0.12415170669555664	 ([think][steroid])
I(31,46): 0.12410521507263184	 ([in.][right?])
I(42,46): -0.12400388717651367	 ([that,][right?])
I(0,56): -0.12393438816070557	 ([title][olympic])
I(38,69): 0.12366175651550293	 ([take][strives])
I(7,25): -0.12352466583251953	 ([going][supposed])
I(49,56): 0.12340688705444336	 ([situations][olympic])
I(0,1): 0.12330389022827148	 ([title][like])
I(14,63): 0.12300693988800049	 ([science][lois,])
I(22,57): 0.12299609184265137	 ([science][spy])
I(5,24): 0.1229104995727539	 ([",][movies.])
I(51,66): 0.12238764762878418	 ([( i. e,][killer])
I(1,21): 0.12230134010314941	 ([like][bad])
I(0,47): 0.1211620569229126	 ([title][found])
I(35,59): 0.12109041213989258	 ([soon.][steroid])
I(27,29): 0.12104415893554688	 ([both,][parody])
I(5,52): 0.12100815773010254	 ([",][side - by - side])
I(31,66): 0.12093496322631836	 ([in.][killer])
I(18,36): 0.12077474594116211	 ([comedy][never])
I(1,53): 0.12064051628112793	 ([like][phone])
I(43,49): 0.12037229537963867	 ([supposed][situations])
I(46,59): 0.12021422386169434	 ([right?][steroid])
I(10,58): -0.11979198455810547	 ([expecting][eating])
I(34,51): -0.1197274923324585	 ([flat][( i. e,])
I(22,47): -0.11969852447509766	 ([science][found])
I(49,67): 0.11934256553649902	 ([situations][tomatoes])
I(10,15): -0.11874508857727051	 ([expecting][fiction])
I(25,42): 0.11870455741882324	 ([supposed][that,])
I(3,31): 0.1186680793762207	 ([killer][in.])
I(10,56): 0.11866641044616699	 ([expecting][olympic])
I(32,47): 0.11846089363098145	 ([unfortunately,][found])
I(2,64): -0.11833202838897705	 ([attack][etc. ).])
I(4,16): -0.11820816993713379	 ([tomatoes!][movie])
I(23,67): 0.11812567710876465	 ([fiction][tomatoes])
I(12,32): -0.11798954010009766	 ([a )][unfortunately,])
I(14,43): 0.11788225173950195	 ([science][supposed])
I(60,64): 0.11786043643951416	 ([cereal,][etc. ).])
I(41,65): 0.11776185035705566	 ([realize][" attack])
I(8,54): -0.11773312091827393	 ([thing][conversations,])
I(34,62): 0.11772918701171875	 ([flat][walking])
I(1,32): 0.11753106117248535	 ([like][unfortunately,])
I(22,56): 0.11736726760864258	 ([science][olympic])
I(59,67): 0.11733627319335938	 ([steroid][tomatoes])
I(27,41): -0.11720144748687744	 ([both,][realize])
I(59,66): 0.1170654296875	 ([steroid][killer])
I(34,47): 0.11612570285797119	 ([flat][found])
I(7,32): -0.11603140830993652	 ([going][unfortunately,])
I(23,63): 0.11577248573303223	 ([fiction][lois,])
I(15,48): -0.11510705947875977	 ([fiction][jokes])
I(2,45): 0.11510217189788818	 ([attack][funny,])
I(50,67): -0.115020751953125	 ([funny][tomatoes])
I(7,12): -0.11493587493896484	 ([going][a )])
I(23,28): -0.11481618881225586	 ([fiction][dose])
I(20,39): -0.11476516723632812	 ([fun][movie])
I(29,44): -0.11461019515991211	 ([parody][think])
I(0,28): 0.11449921131134033	 ([title][dose])
I(0,50): -0.11444604396820068	 ([title][funny])
I(37,59): -0.1143498420715332	 ([supposed][steroid])
I(26,49): -0.1142876148223877	 ([mix][situations])
I(35,48): -0.1141824722290039	 ([soon.][jokes])
I(4,56): 0.11398911476135254	 ([tomatoes!][olympic])
I(51,53): -0.11368846893310547	 ([( i. e,][phone])
I(37,56): 0.1135413646697998	 ([supposed][olympic])
I(11,62): 0.11349856853485107	 ([either][walking])
I(38,55): -0.1132199764251709	 ([take][russian])
I(35,56): -0.11307668685913086	 ([soon.][olympic])
I(18,63): -0.11285758018493652	 ([comedy][lois,])
I(4,35): 0.11268234252929688	 ([tomatoes!][soon.])
I(27,43): 0.11267697811126709	 ([both,][supposed])
I(7,69): 0.11267352104187012	 ([going][strives])
I(9,24): 0.11209845542907715	 ([would][movies.])
I(27,53): 0.11207270622253418	 ([both,][phone])
I(0,67): 0.11165273189544678	 ([title][tomatoes])
I(38,52): -0.1114814281463623	 ([take][side - by - side])
I(27,60): 0.11142587661743164	 ([both,][cereal,])
I(39,57): -0.1113581657409668	 ([movie][spy])
I(23,48): 0.1113438606262207	 ([fiction][jokes])
I(5,68): -0.11085069179534912	 ([",]["])
I(10,38): -0.1107785701751709	 ([expecting][take])
I(2,5): 0.11075568199157715	 ([attack][",])
I(5,53): 0.11054539680480957	 ([",][phone])
I(2,39): 0.11041927337646484	 ([attack][movie])
I(20,47): -0.11023116111755371	 ([fun][found])
I(6,23): 0.11020445823669434	 ([anyone][fiction])
I(20,32): -0.11012911796569824	 ([fun][unfortunately,])
I(30,37): 0.1099858283996582	 ([splashed][supposed])
I(30,63): 0.10984063148498535	 ([splashed][lois,])
I(46,66): 0.10982799530029297	 ([right?][killer])
I(5,49): 0.10974264144897461	 ([",][situations])
I(27,54): -0.10970807075500488	 ([both,][conversations,])
I(15,38): -0.10936498641967773	 ([fiction][take])
I(13,20): 0.10929656028747559	 ([bad][fun])
I(40,59): 0.10927581787109375	 ([seriously,][steroid])
I(17,54): 0.10916101932525635	 ([b )][conversations,])
I(9,34): -0.10888803005218506	 ([would][flat])
I(8,46): -0.10880756378173828	 ([thing][right?])
I(31,55): -0.10808849334716797	 ([in.][russian])
I(6,58): -0.10805964469909668	 ([anyone][eating])
I(18,40): -0.1075894832611084	 ([comedy][seriously,])
I(7,53): -0.10758733749389648	 ([going][phone])
I(4,23): 0.1074063777923584	 ([tomatoes!][fiction])
I(20,27): -0.10723316669464111	 ([fun][both,])
I(22,55): 0.10715842247009277	 ([science][russian])
I(12,33): -0.10664129257202148	 ([a )][falls])
I(20,33): -0.10660243034362793	 ([fun][falls])
I(9,17): -0.10632586479187012	 ([would][b )])
I(41,53): 0.10631036758422852	 ([realize][phone])
I(9,46): 0.10628485679626465	 ([would][right?])
I(9,37): 0.10611104965209961	 ([would][supposed])
I(49,52): 0.10596299171447754	 ([situations][side - by - side])
I(27,40): -0.10577726364135742	 ([both,][seriously,])
I(43,66): -0.10565948486328125	 ([supposed][killer])
I(37,49): -0.10565757751464844	 ([supposed][situations])
I(36,46): -0.10544967651367188	 ([never][right?])
I(58,59): 0.10534477233886719	 ([eating][steroid])
I(18,69): 0.10531198978424072	 ([comedy][strives])
I(1,63): 0.10517120361328125	 ([like][lois,])
I(44,50): -0.10515809059143066	 ([think][funny])
I(13,55): 0.10492277145385742	 ([bad][russian])
I(6,34): 0.1048804521560669	 ([anyone][flat])
I(52,61): -0.1047215461730957	 ([side - by - side][superman])
I(45,49): -0.10470867156982422	 ([funny,][situations])
I(24,62): 0.10470795631408691	 ([movies.][walking])
I(27,63): -0.10429096221923828	 ([both,][lois,])
I(20,63): 0.10423529148101807	 ([fun][lois,])
I(0,57): 0.10409986972808838	 ([title][spy])
I(17,20): -0.1038367748260498	 ([b )][fun])
I(14,49): 0.10372436046600342	 ([science][situations])
I(53,58): 0.10372352600097656	 ([phone][eating])
I(16,50): 0.10366511344909668	 ([movie][funny])
I(24,61): -0.10347628593444824	 ([movies.][superman])
I(30,45): -0.10319328308105469	 ([splashed][funny,])
I(22,43): 0.1030569076538086	 ([science][supposed])
I(20,51): -0.10276961326599121	 ([fun][( i. e,])
I(54,63): -0.10267436504364014	 ([conversations,][lois,])
I(22,27): -0.10266590118408203	 ([science][both,])
I(4,47): 0.10244369506835938	 ([tomatoes!][found])
I(1,43): 0.10228753089904785	 ([like][supposed])
I(4,39): -0.10224461555480957	 ([tomatoes!][movie])
I(56,64): 0.10213804244995117	 ([olympic][etc. ).])
I(17,35): 0.10201382637023926	 ([b )][soon.])
I(1,27): 0.10200309753417969	 ([like][both,])
I(45,61): -0.10200023651123047	 ([funny,][superman])
I(1,59): 0.10193705558776855	 ([like][steroid])
I(45,59): 0.10190582275390625	 ([funny,][steroid])
I(3,26): -0.10181832313537598	 ([killer][mix])
I(34,43): 0.10122203826904297	 ([flat][supposed])
I(15,53): 0.10105252265930176	 ([fiction][phone])
I(5,27): 0.10099029541015625	 ([",][both,])
I(6,44): 0.10090804100036621	 ([anyone][think])
I(47,52): 0.10081934928894043	 ([found][side - by - side])
I(47,68): -0.1003878116607666	 ([found]["])
I(4,43): 0.10015153884887695	 ([tomatoes!][supposed])
I(10,46): -0.1001439094543457	 ([expecting][right?])
I(7,52): -0.10005903244018555	 ([going][side - by - side])
I(26,29): -0.1000516414642334	 ([mix][parody])
I(15,32): -0.09991860389709473	 ([fiction][unfortunately,])
I(56,65): 0.0998849868774414	 ([olympic][" attack])
I(2,38): 0.0997610092163086	 ([attack][take])
I(26,31): -0.09970545768737793	 ([mix][in.])
I(12,51): -0.09966909885406494	 ([a )][( i. e,])
I(53,59): 0.09958004951477051	 ([phone][steroid])
I(3,41): 0.09935474395751953	 ([killer][realize])
I(42,63): 0.09925949573516846	 ([that,][lois,])
I(28,37): -0.09920763969421387	 ([dose][supposed])
I(19,56): 0.0991365909576416	 ([making][olympic])
I(13,19): -0.09906387329101562	 ([bad][making])
I(14,42): -0.09898138046264648	 ([science][that,])
I(3,18): 0.09896302223205566	 ([killer][comedy])
I(37,51): 0.09874153137207031	 ([supposed][( i. e,])
I(38,45): 0.09866631031036377	 ([take][funny,])
Sum: 20.355997920036316
==================================================
