---------- Players ----------
Player 0: -
Player 1: sons
Player 2: sentenced
Player 3: life
Player 4: prison,
Player 5: adelle
Player 6: ( debbie
Player 7: reynolds )
Player 8: helen
Player 9: ( shirley
Player 10: winters )
Player 11: begin
Player 12: receiving
Player 13: threatening
Player 14: phone
Player 15: calls
Player 16: someone
Player 17: fells
Player 18: sons
Player 19: got
Player 20: easy.
Player 21: pair
Player 22: decides
Player 23: move
Player 24: california
Player 25: escape
Player 26: publicity
Player 27: trial
Player 28: start
Player 29: new
Player 30: life.
Player 31: start
Player 32: dance
Player 33: school
Player 34: soon
Player 35: successful.
Player 36: one
Player 37: students
Player 38: rich
Player 39: unmarried
Player 40: father
Player 41: adelle
Player 42: quickly
Player 43: falls
Player 44: love.
Player 45: meantime,
Player 46: helen
Player 47: busy
Player 48: raising
Player 49: rabbits
Player 50: becoming
Player 51: little
Player 52: infatuated
Player 53: evangelist
Player 54: radio.
Player 55: mater
Player 56: time
Player 57: everything
Player 58: falls
Player 59: apart
Player 60: women
Player 61: enter
Player 62: world
Player 63: madness
---------- AND Interactions (Pairwise Only) ----------
I(6,7): 2.5559804439544678	 ([( debbie][reynolds )])
I(15,23): -0.08218538761138916	 ([calls][move])
I(0,39): 0.08196413516998291	 ([-][unmarried])
I(6,48): 0.08184409141540527	 ([( debbie][raising])
I(4,27): 0.08173519372940063	 ([prison,][trial])
I(12,23): -0.08151686191558838	 ([receiving][move])
I(10,45): 0.08130437135696411	 ([winters )][meantime,])
I(45,62): 0.08117794990539551	 ([meantime,][world])
I(2,57): -0.08113688230514526	 ([sentenced][everything])
I(36,45): -0.08088093996047974	 ([one][meantime,])
I(17,35): 0.08076643943786621	 ([fells][successful.])
I(5,56): 0.08050835132598877	 ([adelle][time])
I(20,29): -0.08045309782028198	 ([easy.][new])
I(26,56): -0.08030164241790771	 ([publicity][time])
I(35,58): -0.0802849531173706	 ([successful.][falls])
I(16,58): 0.08018863201141357	 ([someone][falls])
I(24,25): -0.08015531301498413	 ([california][escape])
I(22,41): -0.07968705892562866	 ([decides][adelle])
I(26,41): -0.07955706119537354	 ([publicity][adelle])
I(27,58): -0.07909202575683594	 ([trial][falls])
I(23,54): 0.07891160249710083	 ([move][radio.])
I(3,54): 0.07885503768920898	 ([life][radio.])
I(0,52): 0.07881671190261841	 ([-][infatuated])
I(50,62): 0.07874870300292969	 ([becoming][world])
I(4,16): -0.07871919870376587	 ([prison,][someone])
I(22,55): 0.07839089632034302	 ([decides][mater])
I(12,54): -0.07837474346160889	 ([receiving][radio.])
I(20,56): -0.07835274934768677	 ([easy.][time])
I(3,50): -0.07823300361633301	 ([life][becoming])
I(11,35): -0.07814246416091919	 ([begin][successful.])
I(1,59): -0.07788509130477905	 ([sons][apart])
I(25,39): -0.07765322923660278	 ([escape][unmarried])
I(49,56): 0.07748138904571533	 ([rabbits][time])
I(16,28): -0.0773167610168457	 ([someone][start])
I(13,48): -0.07717108726501465	 ([threatening][raising])
I(34,49): -0.07686984539031982	 ([soon][rabbits])
I(6,56): 0.07672441005706787	 ([( debbie][time])
I(2,38): -0.07655256986618042	 ([sentenced][rich])
I(1,6): 0.07647967338562012	 ([sons][( debbie])
I(0,26): 0.07643342018127441	 ([-][publicity])
I(18,31): 0.07626962661743164	 ([sons][start])
I(7,13): -0.07626223564147949	 ([reynolds )][threatening])
I(3,36): -0.07602453231811523	 ([life][one])
I(42,45): 0.07600933313369751	 ([quickly][meantime,])
I(9,31): 0.07600349187850952	 ([( shirley][start])
I(50,52): 0.07595425844192505	 ([becoming][infatuated])
I(36,61): 0.07584822177886963	 ([one][enter])
I(31,37): 0.07566386461257935	 ([start][students])
I(33,49): -0.07541215419769287	 ([school][rabbits])
I(20,27): 0.07533007860183716	 ([easy.][trial])
I(16,26): 0.07530045509338379	 ([someone][publicity])
I(7,44): 0.07523953914642334	 ([reynolds )][love.])
I(50,54): 0.0750889778137207	 ([becoming][radio.])
I(16,21): 0.0748758316040039	 ([someone][pair])
I(0,42): 0.07458734512329102	 ([-][quickly])
I(0,50): 0.0744219422340393	 ([-][becoming])
I(23,33): 0.07440608739852905	 ([move][school])
I(48,57): 0.07431280612945557	 ([raising][everything])
I(3,27): 0.07420539855957031	 ([life][trial])
I(24,62): 0.07411479949951172	 ([california][world])
I(2,9): -0.0739101767539978	 ([sentenced][( shirley])
I(19,34): 0.07382410764694214	 ([got][soon])
I(18,50): 0.07366722822189331	 ([sons][becoming])
I(35,63): 0.07356786727905273	 ([successful.][madness])
I(3,11): -0.07355773448944092	 ([life][begin])
I(51,58): 0.07355690002441406	 ([little][falls])
I(17,43): -0.0733945369720459	 ([fells][falls])
I(30,45): 0.07334280014038086	 ([life.][meantime,])
I(4,12): 0.0732308030128479	 ([prison,][receiving])
I(6,54): 0.07315099239349365	 ([( debbie][radio.])
I(40,49): -0.07305788993835449	 ([father][rabbits])
I(17,32): -0.07262134552001953	 ([fells][dance])
I(6,17): 0.07254409790039062	 ([( debbie][fells])
I(2,21): 0.07241684198379517	 ([sentenced][pair])
I(14,40): -0.07236224412918091	 ([phone][father])
I(22,54): -0.07222723960876465	 ([decides][radio.])
I(7,62): -0.07212996482849121	 ([reynolds )][world])
I(47,57): -0.07210206985473633	 ([busy][everything])
I(12,31): -0.07204121351242065	 ([receiving][start])
I(20,25): -0.0719766616821289	 ([easy.][escape])
I(23,29): -0.07192784547805786	 ([move][new])
I(10,46): 0.07187998294830322	 ([winters )][helen])
I(50,63): 0.07176214456558228	 ([becoming][madness])
I(2,25): -0.07170045375823975	 ([sentenced][escape])
I(16,27): 0.0715380311012268	 ([someone][trial])
I(0,46): 0.07149845361709595	 ([-][helen])
I(0,28): 0.07147246599197388	 ([-][start])
I(12,61): 0.07141381502151489	 ([receiving][enter])
I(25,45): 0.07134252786636353	 ([escape][meantime,])
I(24,34): -0.07130330801010132	 ([california][soon])
I(40,43): 0.07125556468963623	 ([father][falls])
I(41,44): 0.07123953104019165	 ([adelle][love.])
I(27,55): -0.0712282657623291	 ([trial][mater])
I(3,43): -0.07116270065307617	 ([life][falls])
I(14,39): -0.07105600833892822	 ([phone][unmarried])
I(24,38): -0.07092100381851196	 ([california][rich])
I(9,32): 0.07088255882263184	 ([( shirley][dance])
I(1,13): 0.07075870037078857	 ([sons][threatening])
I(1,23): 0.07073944807052612	 ([sons][move])
I(34,37): -0.07071924209594727	 ([soon][students])
I(21,50): 0.0705370306968689	 ([pair][becoming])
I(7,57): -0.07046777009963989	 ([reynolds )][everything])
I(7,49): -0.07043719291687012	 ([reynolds )][rabbits])
I(3,42): 0.07041531801223755	 ([life][quickly])
I(20,51): 0.0703769326210022	 ([easy.][little])
I(45,51): 0.07035297155380249	 ([meantime,][little])
I(5,7): -0.07022964954376221	 ([adelle][reynolds )])
I(2,40): 0.07014226913452148	 ([sentenced][father])
I(13,47): 0.07013678550720215	 ([threatening][busy])
I(5,9): -0.06969892978668213	 ([adelle][( shirley])
I(25,33): -0.06961202621459961	 ([escape][school])
I(10,44): -0.0695500373840332	 ([winters )][love.])
I(28,63): 0.0690155029296875	 ([start][madness])
I(23,60): -0.06896531581878662	 ([move][women])
I(13,26): 0.0689082145690918	 ([threatening][publicity])
I(11,54): -0.06884938478469849	 ([begin][radio.])
I(11,56): 0.06869006156921387	 ([begin][time])
I(45,57): -0.06868511438369751	 ([meantime,][everything])
I(29,35): 0.06865501403808594	 ([new][successful.])
I(0,15): -0.06854742765426636	 ([-][calls])
I(5,52): -0.06843507289886475	 ([adelle][infatuated])
I(39,49): 0.06839215755462646	 ([unmarried][rabbits])
I(44,59): -0.06811201572418213	 ([love.][apart])
I(11,62): 0.06799793243408203	 ([begin][world])
Sum: -25.631894171237946
==================================================
